video_id,label,split1,split2,split3
April_09_brush_hair_u_nm_np1_ba_goo_0.avi,brush_hair_test,1,1,2
April_09_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair_test,1,1,2
April_09_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair_test,1,1,2
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,brush_hair_test,0,0,1
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,brush_hair_test,1,2,1
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,brush_hair_test,1,2,1
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,brush_hair_test,1,2,1
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,brush_hair_test,1,2,1
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,brush_hair_test,2,1,1
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair_test,2,0,1
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair_test,2,1,1
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0.avi,brush_hair_test,2,1,1
Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi,brush_hair_test,1,1,2
Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,brush_hair_test,1,1,2
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,brush_hair_test,1,2,1
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2.avi,brush_hair_test,1,2,1
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,brush_hair_test,1,2,1
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3.avi,brush_hair_test,1,2,1
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi,brush_hair_test,1,0,1
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6.avi,brush_hair_test,1,2,1
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5.avi,brush_hair_test,1,2,1
Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0.avi,brush_hair_test,1,1,2
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair_test,1,1,2
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair_test,1,1,2
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0.avi,brush_hair_test,2,1,2
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_1.avi,brush_hair_test,2,1,2
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_2.avi,brush_hair_test,2,1,2
Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_3.avi,brush_hair_test,0,1,0
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair_test,1,2,1
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair_test,1,2,1
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair_test,1,2,0
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair_test,1,1,1
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair_test,1,1,0
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair_test,0,1,1
